Cadena,1 ​,2 ​,3 ​,4 ​,5 ​,6 ​,7 ​,8 ​,9 ​,10 ​,11 ​,12 ​,13 ​,14 ​,15 ​,16 ​,17 ​,18 ​,19 ​,20 ​,21 ​,22 ​,23 ​,24 ​,25 ​,26 ​,27 ​,28 ​,29 ​,30 ​,Media mensual
La 1,"7,2%","8,4%","8,4%","8,7%","8,9%","8,1%","7,8%","6,8%","8,5%","8,8%","7,9%","8,0%","7,6%","7,4%","7,9%","8,2%","8,5%","10,2%","8,8%","8,3%","7,6%","7,4%","8,3%","8,8%","9,6%","9,2%","8,0%","8,1%","6,8%","8,4%","8,3%"
Antena 3,"15,4%","12,2%","12,2%","15,1%","15,1%","14,8%","15,7%","14,9%","11,1%","10,8%","14,5%","13,7%","13,5%","14,0%","10,5%","11,3%","12,3%","14,3%","14,9%","14,9%","15,0%","14,7%","10,2%","11,0%","15,1%","14,3%","14,7%","15,3%","15,2%","10,9%","13,6%"
Telecinco,"11,9%","10,5%","10,5%","12,0%","12,1%","10,5%","12,3%","12,7%","11,1%","10,2%","11,4%","11,2%","9,7%","9,5%","11,0%","10,5%","10,2%","11,1%","12,4%","11,0%","14,9%","13,0%","19,8%","13,3%","12,7%","12,8%","12,5%","14,6%","13,6%","11,2%","12,1%"
Cuatro,"4,3%","5,9%","5,9%","5,1%","4,8%","4,7%","5,0%","4,5%","5,7%","6,4%","5,1%","4,7%","5,0%","4,8%","4,7%","5,9%","5,4%","4,6%","4,5%","5,5%","4,6%","4,4%","4,6%","5,6%","4,6%","4,2%","5,2%","4,5%","3,8%","5,6%","5,0%"
La Sexta,"7,3%","5,6%","5,6%","7,6%","7,6%","7,6%","7,2%","7,2%","5,3%","4,4%","7,2%","6,4%","6,9%","6,4%","5,1%","4,8%","4,3%","7,0%","7,3%","7,5%","6,8%","7,0%","4,0%","4,6%","7,5%","6,8%","7,1%","6,6%","6,9%","4,5%","6,3%"
La 2,"3,3%","2,8%","2,6%","3,1%","3,5%","2,8%","3,2%","3,2%","3,0%","3,2%","3,5%","3,0%","3,0%","3,0%","2,6%","2,4%","3,3%","3,0%","2,8%","2,9%","2,8%","2,6%","2,5%","3,1%","3,4%","2,5%","2,8%","3,1%","3,6%","2,7%","3,0%"
Clan,"0,9%","1,0%","0,8%","0,7%","0,9%","0,8%","0,7%","0,8%","0,9%","0,8%","1,0%","0,8%","0,9%","0,9%","0,9%","1,4%","1,0%","0,9%","0,8%","0,8%","0,7%","0,9%","0,9%","0,6%","0,7%","0,6%","0,8%","0,7%","1,0%","1,0%","0,8%"
24 horas,"1,1%","1,3%","1,2%","1,2%","1,1%","1,3%","1,2%","1,2%","1,3%","1,3%","1,1%","1,0%","1,1%","1,1%","1,5%","1,4%","1,4%","1,5%","1,1%","1,0%","1,1%","1,0%","1,2%","1,3%","1,1%","1,1%","1,1%","1,2%","0,9%","1,1%","1,2%"
TDP,"1,1%","0,6%","0,6%","0,4%","0,3%","0,3%","0,7%","0,7%","0,4%","0,6%","0,4%","0,5%","0,4%","0,3%","0,6%","0,6%","0,6%","0,6%","0,5%","0,8%","0,7%","1,7%","1,2%","1,8%","0,5%","0,5%","0,4%","0,8%","1,0%","1,1%","0,7%"
Neox,"2,3%","2,3%","2,1%","1,6%","1,9%","1,6%","1,6%","1,9%","1,8%","2,1%","2,0%","1,8%","2,0%","1,9%","3,0%","2,4%","2,1%","2,0%","1,9%","1,7%","1,5%","1,8%","2,1%","2,6%","1,9%","1,8%","1,9%","1,8%","2,1%","2,5%","2,0%"
Nova,"3,1%","2,1%","1,9%","2,6%","2,6%","2,9%","2,7%","3,0%","2,1%","2,1%","2,5%","2,7%","2,8%","3,1%","2,8%","2,1%","1,8%","2,5%","2,5%","2,7%","1,5%","2,6%","1,7%","2,0%","2,5%","2,8%","2,8%","2,6%","2,9%","1,9%","2,5%"
Mega,"1,4%","1,3%","1,7%","1,6%","1,7%","1,7%","1,7%","1,2%","1,4%","1,5%","1,7%","1,8%","1,8%","1,8%","1,4%","1,6%","1,9%","1,6%","1,6%","1,6%","1,5%","1,3%","1,2%","1,7%","1,6%","1,9%","1,6%","1,7%","1,4%","1,4%","1,6%"
Atreseries,"1,7%","2,2%","2,0%","1,6%","1,6%","1,7%","1,5%","1,7%","2,1%","2,1%","1,7%","1,7%","2,0%","1,9%","2,1%","2,4%","2,1%","1,8%","1,7%","1,8%","1,8%","1,8%","2,3%","2,2%","1,7%","1,8%","1,8%","1,8%","2,0%","2,4%","1,9%"
FDF,"2,9%","3,2%","3,0%","2,6%","2,4%","2,6%","2,6%","2,9%","3,3%","3,1%","2,5%","2,6%","2,8%","2,8%","3,1%","3,4%","2,8%","2,6%","2,5%","2,7%","2,4%","2,3%","2,7%","2,7%","2,2%","2,4%","2,5%","2,5%","2,7%","3,0%","2,7%"
Divinity,"1,6%","2,2%","2,0%","2,0%","2,0%","1,9%","2,1%","1,9%","2,0%","2,2%","2,2%","1,9%","2,0%","2,1%","2,1%","2,1%","1,8%","2,1%","2,2%","2,2%","2,2%","2,0%","2,2%","1,9%","2,1%","2,2%","1,9%","2,1%","1,7%","2,2%","2,0%"
Energy,"2,0%","2,6%","2,4%","2,1%","2,0%","2,3%","2,1%","2,2%","2,6%","2,4%","2,5%","2,4%","2,6%","2,3%","2,9%","2,6%","2,4%","2,5%","2,3%","2,1%","2,1%","2,3%","2,3%","2,3%","2,4%","2,3%","2,5%","2,2%","2,3%","2,5%","2,3%"
Boing,"0,8%","0,9%","0,8%","0,8%","0,7%","0,7%","0,8%","0,9%","1,1%","0,9%","1,0%","0,9%","0,9%","0,9%","0,8%","1,0%","0,7%","0,8%","0,7%","0,7%","0,8%","0,8%","1,0%","0,8%","0,7%","0,5%","0,6%","0,7%","0,8%","1,0%","0,8%"
Be Mad,"0,6%","0,6%","0,7%","0,6%","0,6%","0,7%","0,6%","0,7%","0,7%","0,7%","0,6%","0,6%","0,7%","0,8%","0,6%","0,7%","0,6%","0,5%","0,5%","0,5%","0,6%","0,5%","0,6%","0,5%","0,6%","0,6%","0,6%","0,5%","0,6%","1,0%","0,6%"
Trece,"2,4%","2,0%","2,3%","2,3%","2,2%","2,4%","2,1%","2,5%","2,3%","2,4%","2,6%","2,4%","2,2%","1,9%","2,0%","2,6%","3,2%","2,3%","2,4%","2,2%","2,0%","2,3%","1,7%","2,0%","2,2%","2,1%","2,1%","2,4%","2,4%","1,7%","2,2%"
DMAX,"1,5%","1,6%","1,7%","1,5%","1,4%","1,7%","1,5%","1,6%","1,8%","1,9%","1,7%","1,8%","1,6%","1,7%","2,0%","1,8%","1,8%","1,7%","1,6%","1,5%","1,4%","1,4%","1,5%","1,8%","1,6%","1,7%","1,4%","1,3%","1,4%","1,7%","1,6%"
Paramount Network,"1,7%","1,8%","2,3%","1,7%","1,8%","2,1%","1,7%","1,7%","1,7%","1,7%","1,7%","1,9%","1,8%","2,0%","2,0%","1,9%","1,9%","1,5%","1,8%","1,8%","1,6%","1,8%","1,7%","1,6%","1,9%","1,8%","1,8%","1,8%","1,5%","1,7%","1,8%"
Disney Channel,"0,4%","0,7%","0,4%","0,4%","0,4%","0,5%","0,4%","0,5%","0,8%","0,7%","0,5%","0,5%","0,6%","0,5%","0,5%","0,6%","0,5%","0,5%","0,6%","0,5%","0,5%","0,5%","0,6%","0,6%","0,3%","0,4%","0,4%","0,4%","0,4%","0,7%","0,5%"
Ten,"0,6%","0,7%","0,7%","0,8%","0,7%","0,7%","0,7%","0,8%","0,7%","0,7%","0,8%","0,8%","0,8%","1,0%","1,1%","0,7%","0,7%","0,8%","0,8%","0,7%","0,9%","0,8%","0,5%","0,5%","0,7%","0,7%","0,7%","0,8%","0,6%","0,6%","0,7%"
DKISS,"1,2%","1,1%","1,0%","1,3%","1,1%","1,2%","1,3%","1,4%","1,3%","1,0%","1,1%","1,2%","1,1%","1,3%","1,2%","1,2%","1,1%","1,5%","1,2%","1,2%","1,1%","1,3%","1,0%","0,9%","1,1%","0,9%","1,2%","1,1%","1,2%","1,0%","1,2%"
Gol,"1,0%","1,0%","1,2%","1,6%","1,1%","1,5%","1,2%","1,7%","1,4%","1,2%","1,1%","1,4%","1,3%","1,5%","1,8%","1,4%","1,5%","1,5%","1,8%","1,1%","1,2%","1,0%","0,7%","1,1%","1,1%","1,5%","1,2%","1,0%","1,1%","1,4%","1,3%"
RM TV,"0,6%","0,6%","0,3%","0,4%","0,4%","0,5%","0,5%","0,7%","0,6%","0,4%","0,4%","0,7%","0,6%","0,5%","0,7%","0,5%","0,7%","0,5%","0,5%","0,5%","0,5%","0,5%","0,5%","0,4%","0,5%","0,5%","0,6%","0,5%","0,5%","1,5%","0,5%"
